age,job,marital,education,default_status,balance,housing,loan,contact,day,month,duration_minutes,campaign,previous,poutcome,y,pdays,Cluster
58,management,married,tertiary,no,2143.0,yes,no,unknown,5,may,4.35,1,0,unknown,no,-1,1
44,technician,single,secondary,no,29.0,yes,no,unknown,5,may,2.52,1,0,unknown,no,-1,1
33,entrepreneur,married,secondary,no,2.0,yes,yes,unknown,5,may,1.27,1,0,unknown,no,-1,1
47,blue-collar,married,unknown,no,1506.0,yes,no,unknown,5,may,1.53,1,0,unknown,no,-1,1
33,unknown,single,unknown,no,1.0,no,no,unknown,5,may,3.3,1,0,unknown,no,-1,1
35,management,married,tertiary,no,231.0,yes,no,unknown,5,may,2.32,1,0,unknown,no,-1,1
28,management,single,tertiary,no,447.0,yes,yes,unknown,5,may,3.62,1,0,unknown,no,-1,1
42,entrepreneur,divorced,tertiary,yes,2.0,yes,no,unknown,5,may,6.33,1,0,unknown,no,-1,1
58,retired,married,primary,no,121.0,yes,no,unknown,5,may,0.83,1,0,unknown,no,-1,1
43,technician,single,secondary,no,593.0,yes,no,unknown,5,may,0.92,1,0,unknown,no,-1,1
41,admin.,divorced,secondary,no,270.0,yes,no,unknown,5,may,3.7,1,0,unknown,no,-1,1
29,admin.,single,secondary,no,390.0,yes,no,unknown,5,may,2.28,1,0,unknown,no,-1,1
53,technician,married,secondary,no,6.0,yes,no,unknown,5,may,8.62,1,0,unknown,no,-1,1
58,technician,married,unknown,no,71.0,yes,no,unknown,5,may,1.18,1,0,unknown,no,-1,1
57,services,married,secondary,no,162.0,yes,no,unknown,5,may,2.9,1,0,unknown,no,-1,1
51,retired,married,primary,no,229.0,yes,no,unknown,5,may,5.88,1,0,unknown,no,-1,1
45,admin.,single,unknown,no,13.0,yes,no,unknown,5,may,1.63,1,0,unknown,no,-1,1
57,blue-collar,married,primary,no,52.0,yes,no,unknown,5,may,0.63,1,0,unknown,no,-1,1
60,retired,married,primary,no,60.0,yes,no,unknown,5,may,3.65,1,0,unknown,no,-1,1
33,services,married,secondary,no,0.0,yes,no,unknown,5,may,0.9,1,0,unknown,no,-1,1
28,blue-collar,married,secondary,no,723.0,yes,yes,unknown,5,may,4.37,1,0,unknown,no,-1,1
56,management,married,tertiary,no,779.0,yes,no,unknown,5,may,2.73,1,0,unknown,no,-1,1
32,blue-collar,single,primary,no,23.0,yes,yes,unknown,5,may,2.67,1,0,unknown,no,-1,1
25,services,married,secondary,no,50.0,yes,no,unknown,5,may,5.7,1,0,unknown,no,-1,1
40,retired,married,primary,no,0.0,yes,yes,unknown,5,may,3.02,1,0,unknown,no,-1,1
44,admin.,married,secondary,no,-372.0,yes,no,unknown,5,may,2.87,1,0,unknown,no,-1,1
39,management,single,tertiary,no,255.0,yes,no,unknown,5,may,4.93,1,0,unknown,no,-1,1
52,entrepreneur,married,secondary,no,113.0,yes,yes,unknown,5,may,2.12,1,0,unknown,no,-1,1
46,management,single,secondary,no,-246.0,yes,no,unknown,5,may,4.25,2,0,unknown,no,-1,1
36,technician,single,secondary,no,265.0,yes,yes,unknown,5,may,5.8,1,0,unknown,no,-1,1
57,technician,married,secondary,no,839.0,no,yes,unknown,5,may,3.75,1,0,unknown,no,-1,1
49,management,married,tertiary,no,378.0,yes,no,unknown,5,may,3.83,1,0,unknown,no,-1,1
60,admin.,married,secondary,no,39.0,yes,yes,unknown,5,may,3.47,1,0,unknown,no,-1,1
59,blue-collar,married,secondary,no,0.0,yes,no,unknown,5,may,3.77,1,0,unknown,no,-1,1
51,management,married,tertiary,no,10635.0,yes,no,unknown,5,may,5.6,1,0,unknown,no,-1,1
57,technician,divorced,secondary,no,63.0,yes,no,unknown,5,may,4.03,1,0,unknown,no,-1,1
25,blue-collar,married,secondary,no,-7.0,yes,no,unknown,5,may,6.08,1,0,unknown,no,-1,1
53,technician,married,secondary,no,-3.0,no,no,unknown,5,may,27.77,1,0,unknown,no,-1,3
